image_name,BBox_xmin,BBox_ymin,BBox_xmax,BBox_ymax,Color
2KINT/kn0816-1.jpg,145,255,588,942,16
2pants 2019/401_W01.jpg,294,469,658,1177,17
2CARDIGON 2019/ca0315_W01.jpg,173,315,835,1323,12
2BLOUSE 2019/bl0615-1.jpg,100,24,472,744,12
2COAT 2019/co0361-1.jpg,75,78,252,407,0
2pants 2019/705_W06.jpg,288,486,556,766,17
2SKIRT2019/578.jpg,201,361,504,924,5
2BLOUSE 2019/bl0790-1.png,0,20,508,451,17
2BLOUSE 2019/bl0139_W01.jpg,64,341,776,1145,17
2VEST 2019/ve0965-1.jpg,133,39,452,555,17
2CARDIGON 2019/ca0671-1.jpg,128,63,385,508,6
2SHIRT 2019/sh0818-1.jpg,71,93,428,560,13
2CARDIGON 2019/ca0402_W01.jpg,122,259,610,1243,7
2VEST 2019/ve0717-1.jpg,142,136,494,592,7
2CARDIGON 2019/ca0617-1.jpg,51,7,390,546,12
1209/BT00267-1.jpg,337,89,653,766,17
2JUMPER 2019/ju0685-1.jpg,49,15,492,578,17
1209/BO00682-2.jpg,95,21,406,451,17
20200112_up/BO01730-1.jpg,332,348,600,832,15
1209/BO01181-1_aug.jpg,373,286,733,815,1
2pants 2019/32-1.jpg,293,167,596,1033,15
2pants 2019/864_W01.jpg,278,83,647,1087,17
2JACKET 2019/ja0873_W01.jpg,228,283,718,1226,17
2BLOUSE 2019/bl0184_W06.jpg,272,221,588,697,12
2Sweater 2019/sw0509-1.jpg,83,117,418,544,5
2Sweater 2019/sw0849.jpg,989,124,2345,1688,17
2CARDIGON 2019/ca0605-1.jpg,2,29,426,441,15
2Sweater 2019/sw0266-1.jpg,317,802,1605,2082,8
1209/BO00729-1.jpg,18,210,458,770,15
2KINT/kn0539-1.png,105,147,261,347,5
2pants 2019/194-01.jpg,246,591,535,1255,16
2COAT 2019/co0076-1.jpg,170,199,637,846,12
1209/BO00806-1.jpg,36,22,639,862,16
2SHIRT 2019/sh0523_W06.jpg,253,224,649,701,7
2KINT/kn0106.jpg,210,129,710,840,17
2CARDIGON 2019/ca0335_W06.jpg,238,224,602,988,17
2BLOUSE 2019/bl0090_W06.jpg,283,197,651,693,12
2ONEPIECE 2019/on0737.jpg,137,82,630,976,7
2ONEPIECE 2019/on0895-1.jpg,199,215,338,443,11
2Sweater 2019/sw0038-1.jpg,230,132,462,528,10
2KINT/kn0343-1.jpg,25,39,294,367,13
2CARDIGON 2019/ca0748-1.jpg,77,82,373,478,5
20200112_up/BO01279-1.jpg,307,277,723,917,4
2BLOUSE 2019/bl0165_W06.jpg,219,204,551,612,15
2SKIRT2019/462-01.jpg,225,378,405,665,11
1209/BO00164-1_aug.jpg,210,162,419,458,1
2SKIRT2019/389-1.jpg,112,123,414,451,5
1209/BT00151-1.jpg,397,589,841,1257,3
2JACKET 2019/ja0878-1_aug.jpg,43,148,265,489,2
2SKIRT2019/16-1_aug.jpg,50,44,413,559,1
2BLOUSE 2019/bl0880-1.jpg,58,102,232,333,4
2COAT 2019/co0181.jpg,224,175,550,941,5
2SHIRT 2019/sh0348_W06.jpg,256,180,654,716,17
2pants 2019/522_W01.jpg,256,104,696,1040,7
2SKIRT2019/183-1.jpg,50,21,648,673,17
2BLOUSE 2019/bl0285_W06.jpg,314,227,666,711,7
2KINT/kn1044-1.jpg,95,12,487,564,7
2JUMPER 2019/ju0981.jpg,60,1,161,205,12
2SHIRT 2019/sh0316_W01.jpg,189,342,761,1114,10
2SKIRT2019/442-4.jpg,187,150,544,439,16
2VEST 2019/ve0375-1.jpg,136,53,611,852,17
2JACKET 2019/ja0636-1.jpg,143,166,747,928,17
2CARDIGON 2019/ca0357_W05.jpg,273,226,609,658,12
2ONEPIECE 2019/on0417-1.jpg,249,175,477,860,5
2KINT/kn0494-1.jpg,267,152,735,812,15
2JUMPER 2019/ju0320-1.jpg,5,13,237,273,9
2CARDIGON 2019/ca0656-1.jpg,62,41,370,453,17
2VEST 2019/ve0064-1.jpg,228,118,476,478,9
2VEST 2019/ve0708-1.jpg,420,571,692,907,5
2BLOUSE 2019/bl0514-1.jpg,200,191,560,487,17
2KINT/kn0276-1.jpg,40,17,284,374,0
2KINT/kn0884-1.jpg,115,267,575,891,4
2ONEPIECE 2019/on0609-0.png,151,190,404,751,5
1209/BO00255-1.jpg,128,312,948,1192,16
2COAT 2019/co0127.jpg,247,51,567,596,12
2ONEPIECE 2019/on0711-1_aug.png,150,129,370,653,8
2Sweater 2019/sw0260-1.jpg,221,792,1737,2136,17
1209/BO00988-1.jpg,89,214,393,654,17
2pants 2019/638_W01.jpg,241,41,661,1169,1
1209/BO00191-1_aug.jpg,162,309,918,1191,8
2SKIRT2019/316-1.png,171,247,341,527,7
2BLOUSE 2019/bl0849-1.jpg,11,59,555,659,3
2CARDIGON 2019/ca0133-1.jpg,78,201,414,605,17
2SHIRT 2019/sh0915-1.jpg,265,243,609,611,7
2pants 2019/419_W06.jpg,314,517,598,1147,17
2VEST 2019/ve0990-1.jpg,50,34,326,426,12
2JUMPER 2019/ju0994.jpg,55,71,175,259,10
2VEST 2019/ve0483_W01.jpg,212,251,691,1272,14
1209/BO00244.jpg,14,46,218,382,14
2pants 2019/788_W01.jpg,77,304,781,1096,6
2BLOUSE 2019/bl0176_W06.jpg,289,215,617,643,8
2Sweater 2019/sw0898.jpg,1196,15,2516,1567,3
2BLOUSE 2019/bl0940_W06.jpg,352,205,664,640,5
2SHIRT 2019/sh0713-1.jpg,113,80,229,256,12
2pants 2019/941_W01.jpg,193,42,680,1190,17
2Sweater 2019/sw0878.jpg,406,84,1458,1732,5
2SHIRT 2019/sh0409-1.jpg,154,237,626,933,16
1209/BT00072.jpg,345,0,525,188,6
2CARDIGON 2019/ca0440_W06.jpg,273,177,621,973,7
2BLOUSE 2019/bl0526-2.jpg,211,228,580,717,7
2VEST 2019/ve0151-1.jpg,161,27,533,607,5
2SKIRT2019/962-1.jpg,160,47,552,687,5
2VEST 2019/ve0041-1.jpg,153,354,645,1071,6
2SHIRT 2019/sh1025-2.jpg,0,316,548,780,17
1209/BO00950-1.jpg,92,30,484,746,14
2COAT 2019/co0900-1.jpg,141,119,342,515,5
1209/BO00774-2.jpg,46,117,286,465,17
1209/BO00801-1.jpg,0,0,878,710,17
2Sweater 2019/sw0266-1_aug.jpg,315,802,1603,2082,8
2CARDIGON 2019/ca0412_W06.jpg,168,202,704,1087,4
2KINT/kn0746-1_aug.jpg,158,264,533,945,1
1209/BO00538-2.jpg,20,16,720,664,11
2SHIRT 2019/sh0916-3.jpg,135,206,527,970,6
2JACKET 2019/ja0297-1.jpg,50,119,279,395,10
2JACKET 2019/ja0113_W01.jpg,150,325,750,1265,6
2KINT/kn0996-1.jpg,211,261,495,857,3
2COAT 2019/co1013-1.jpg,98,149,372,689,6
2CARDIGON 2019/ca0383_W05.jpg,290,209,631,1078,2
2pants 2019/1011_W01.jpg,219,51,687,1023,7
2CARDIGON 2019/ca0630-1.jpg,1,23,465,443,13
1209/BO00010-1.jpg,22,104,499,418,5
2BLOUSE 2019/bl0140_W05.jpg,255,203,591,651,7
2JUMPER 2019/ju0390-1.jpg,174,136,505,804,16
2JUMPER 2019/ju0129-1.jpg,53,115,305,479,17
2CARDIGON 2019/ca0802-1.jpg,104,76,398,637,15
2SKIRT2019/170-1.jpg,146,70,286,322,11
2BLOUSE 2019/bl0786-1_aug.png,31,25,460,535,8
2Sweater 2019/sw0791-1.jpg,63,8,690,857,11
2BLOUSE 2019/bl0862-1.jpg,84,89,172,221,15
2KINT/kn0232-1.jpg,72,101,258,399,16
2Sweater 2019/sw0390-1.jpg,45,173,453,493,17
2BLOUSE 2019/bl0843-1_aug.jpg,113,26,633,626,9
2SHIRT 2019/sh0949-1.jpg,104,113,236,281,8
2ONEPIECE 2019/on0884-1.jpg,157,125,317,365,12
2SKIRT2019/376-03.jpg,152,314,320,541,12
2JACKET 2019/ja0133_W01.jpg,97,323,701,1219,11
2BLOUSE 2019/bl0584-1.png,60,66,776,750,15
2COAT 2019/co0692.jpg,159,205,521,968,12
2ONEPIECE 2019/on0974-1.png,173,240,396,828,15
2VEST 2019/ve0980-1.jpg,165,28,437,567,5
2SHIRT 2019/sh0392-1.jpg,119,199,539,863,12
2VEST 2019/ve0363-1.jpg,550,138,858,490,15
2JACKET 2019/ja0250-1.jpg,15,36,385,454,15
2Sweater 2019/sw0970-1.jpg,63,13,383,445,10
2Sweater 2019/sw0854.jpg,592,511,1320,1439,15
2SKIRT2019/973-1.jpg,282,373,456,806,16
2CARDIGON 2019/ca0276-1.jpg,161,154,361,428,1
1209/BO00184-3.jpg,123,302,939,1202,15
2CARDIGON 2019/ca0849-1.jpg,90,64,490,756,16
20200112_up/BO01672-1.jpg,173,359,813,1203,1
2JACKET 2019/ja0607-1.jpg,287,186,572,621,17
2ONEPIECE 2019/on1008-1.png,187,209,385,597,17
2JUMPER 2019/ju0259-1.jpg,67,240,615,819,17
2SHIRT 2019/sh0799-1.jpg,86,101,414,547,5
2JUMPER 2019/ju0089-1.jpg,88,265,599,893,16
2COAT 2019/co0248-1.jpg,53,80,222,423,6
1209/BO00354-1.jpg,101,285,501,831,16
2BLOUSE 2019/bl0970-2.jpg,317,196,685,672,8
2VEST 2019/ve0779-1.jpg,50,21,242,425,17
2ONEPIECE 2019/on0963-2.png,250,165,420,653,0
1209/BO00759-1.jpg,63,178,711,610,15
2VEST 2019/ve1085-1.jpg,461,438,849,1022,16
2ONEPIECE 2019/on0784-1.jpg,141,136,290,411,12
2ONEPIECE 2019/on0862-1.jpg,150,128,297,460,17
2SKIRT2019/939-1.jpg,100,37,592,771,5
2CARDIGON 2019/ca0959-2.jpg,23,34,326,766,16
2CARDIGON 2019/ca0304_W01.jpg,232,278,740,1262,1
2ONEPIECE 2019/on0485-1.jpg,172,210,517,1020,10
2Sweater 2019/sw0883.jpg,1244,21,2508,1717,16
2BLOUSE 2019/bl0716-1.png,26,26,474,554,7
2JACKET 2019/ja0780-1.jpg,42,28,556,574,17
2JACKET 2019/ja0854-1.jpg,232,248,424,547,9
2CARDIGON 2019/ca0682-1.jpg,87,27,377,459,12
2JACKET 2019/ja0835-2.png,82,161,290,457,4
2JACKET 2019/ja0703-1.jpg,227,151,568,663,17
2CARDIGON 2019/ca0612-1.jpg,28,20,278,447,11
2Sweater 2019/sw0708-1.jpg,103,114,394,547,17
2COAT 2019/co0211.jpg,153,222,618,1099,17
2SKIRT2019/493-01.jpg,144,293,284,633,17
2JACKET 2019/ja0054_W01.jpg,167,257,730,1143,0
